accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
P51532,SMCA4_HUMAN,1647,Homo sapiens,benign,random_enzyme,"['PF07533', 'PF00439', 'PF00271', 'PF07529', 'PF08880', 'PF14619', 'PF00176']","['GO:0140092:C:bBAF complex', 'GO:0000785:C:chromatin', 'GO:0005615:C:extracellular space', 'GO:0001650:C:fibrillar center', 'GO:0140288:C:GBAF complex', 'GO:0000776:C:kinetochore', 'GO:0016020:C:membrane', 'GO:0071565:C:nBAF complex', 'GO:0071564:C:npBAF complex', 'GO:0016363:C:nuclear matrix', 'GO:0005730:C:nucleolus', 'GO:0005654:C:nucleoplasm', 'GO:0005634:C:nucleus', 'GO:0032991:C:protein-containing complex', 'GO:0016586:C:RSC-type complex', 'GO:0016514:C:SWI/SNF complex', 'GO:0005524:F:ATP binding', 'GO:0016887:F:ATP hydrolysis activity', 'GO:0008094:F:ATP-dependent activity, acting on DNA', 'GO:0140658:F:ATP-dependent chromatin remodeler activity', 'GO:0003682:F:chromatin binding', 'GO:0003677:F:DNA binding', 'GO:0070182:F:DNA polymerase binding', 'GO:0004386:F:helicase activity', 'GO:0042393:F:histone binding', 'GO:0042802:F:identical protein binding', 'GO:0050681:F:nuclear androgen receptor binding', 'GO:0140750:F:nucleosome array spacer activity', 'GO:0002039:F:p53 binding', 'GO:0003723:F:RNA binding', 'GO:0030957:F:Tat protein binding', 'GO:0003713:F:transcription coactivator activity', 'GO:0001221:F:transcription coregulator binding', 'GO:0003714:F:transcription corepressor activity', 'GO:0006338:P:chromatin remodeling', 'GO:0031507:P:heterochromatin formation', 'GO:0043923:P:host-mediated activation of viral transcription', 'GO:0060766:P:negative regulation of androgen receptor signaling pathway', 'GO:0045596:P:negative regulation of cell differentiation', 'GO:0030308:P:negative regulation of cell growth', 'GO:0045892:P:negative regulation of DNA-templated transcription', 'GO:0000122:P:negative regulation of transcription by RNA polymerase II', 'GO:0007399:P:nervous system development', 'GO:0003407:P:neural retina development', 'GO:0006337:P:nucleosome disassembly', 'GO:0045597:P:positive regulation of cell differentiation', 'GO:0008284:P:positive regulation of cell population proliferation', 'GO:0120162:P:positive regulation of cold-induced thermogenesis', 'GO:0045893:P:positive regulation of DNA-templated transcription', 'GO:2000781:P:positive regulation of double-strand break repair', 'GO:1902661:P:positive regulation of glucose mediated signaling pathway', 'GO:1902895:P:positive regulation of miRNA transcription', 'GO:0045663:P:positive regulation of myoblast differentiation', 'GO:1901798:P:positive regulation of signal transduction by p53 class mediator', 'GO:1902459:P:positive regulation of stem cell population maintenance', 'GO:0045582:P:positive regulation of T cell differentiation', 'GO:0045944:P:positive regulation of transcription by RNA polymerase II', 'GO:1901838:P:positive regulation of transcription of nucleolar large rRNA by RNA polymerase I', 'GO:0030177:P:positive regulation of Wnt signaling pathway', 'GO:0070316:P:regulation of G0 to G1 transition', 'GO:2000045:P:regulation of G1/S transition of mitotic cell cycle', 'GO:0030071:P:regulation of mitotic metaphase/anaphase transition', 'GO:2000819:P:regulation of nucleotide-excision repair', 'GO:0006357:P:regulation of transcription by RNA polymerase II', 'GO:0001188:P:RNA polymerase I preinitiation complex assembly', 'GO:0045815:P:transcription initiation-coupled chromatin remodeling']","ATPase involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Component of SWI/SNF chromatin remodeling complexes that carry out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner (PubMed:15075294, PubMed:29374058, PubMed:30339381, PubMed:32459350). Component of the CREST-BRG1 complex, a multiprotein complex that regulates promoter activation by orchestrating the calcium-dependent release of a repressor complex and the recruitment of an activator complex. In resting neurons, transcription of the c-FOS promoter is inhibited by SMARCA4-dependent recruitment of a phospho-RB1-HDAC repressor complex. Upon calcium influx, RB1 is dephosphorylated by calcineurin, which leads to release of the repressor complex. At the same time, there is increased recruitment of CREBBP to the promoter by a CREST-dependent mechanism, which leads to transcriptional activation. The CREST-BRG1 complex also binds to the NR2B promoter, and activity-dependent induction of NR2B expression involves the release of HDAC1 and recruitment of CREBBP (By similarity). Belongs to the neural progenitors-specific chromatin remodeling complex (npBAF complex) and the neuron-specific chromatin remodeling complex (nBAF complex). During neural development, a switch from a stem/progenitor to a postmitotic chromatin remodeling mechanism occurs as neurons exit the cell cycle and become committed to their adult state. The transition from proliferating neural stem/progenitor cells to postmitotic neurons requires a switch in subunit composition of the npBAF and nBAF complexes. As neural progenitors exit mitosis and differentiate into neurons, npBAF complexes which contain ACTL6A/BAF53A and PHF10/BAF45A, are exchanged for homologous alternative ACTL6B/BAF53B and DPF1/BAF45B or DPF3/BAF45C subunits in neuron-specific complexes (nBAF). The npBAF complex is essential for the self-renewal/proliferative capacity of the multipotent neural stem cells. The nBAF complex along with CREST plays a role regulating the activity of genes essential for dendrite growth. SMARCA4/BAF190A may promote neural stem cell self-renewal/proliferation by enhancing Notch-dependent proliferative signals, while concurrently making the neural stem cell insensitive to SHH-dependent differentiating cues (By similarity). Acts as a corepressor of ZEB1 to regulate E-cadherin transcription and is required for induction of epithelial-mesenchymal transition (EMT) by ZEB1 (PubMed:20418909). Binds via DLX1 to enhancers located in the intergenic region between DLX5 and DLX6 and this binding is stabilized by the long non-coding RNA (lncRNA) Evf2 (By similarity). Binds to RNA in a promiscuous manner (By similarity). In brown adipose tissue, involved in the regulation of thermogenic genes expression (By similarity)",,False
P52849,NDST2_HUMAN,883,Homo sapiens,benign,random_enzyme,"['PF12062', 'PF25119', 'PF00685']","['GO:0005794:C:Golgi apparatus', 'GO:0000139:C:Golgi membrane', 'GO:0016020:C:membrane', 'GO:0019213:F:deacetylase activity', 'GO:0102140:F:heparan sulfate N-deacetylase activity', 'GO:0015016:F:heparan sulfate N-sulfotransferase activity', 'GO:0050119:F:N-acetylglucosamine deacetylase activity', 'GO:0015012:P:heparan sulfate proteoglycan biosynthetic process', 'GO:0030210:P:heparin proteoglycan biosynthetic process', 'GO:0002448:P:mast cell mediated immunity', 'GO:0002002:P:regulation of angiotensin levels in blood']","Essential bifunctional enzyme that catalyzes both the N-deacetylation and the N-sulfation of glucosamine (GlcNAc) of the glycosaminoglycan in heparan sulfate. Modifies the GlcNAc-GlcA disaccharide repeating sugar backbone to make N-sulfated heparosan, a prerequisite substrate for later modifications in heparin biosynthesis. Plays a role in determining the extent and pattern of sulfation of heparan sulfate. Required for the exosomal release of SDCBP, CD63 and syndecan (PubMed:22660413)",,False
P54098,DPOG1_HUMAN,1239,Homo sapiens,benign,random_enzyme,['PF18136'],"['GO:0005760:C:gamma DNA polymerase complex', 'GO:0000262:C:mitochondrial chromosome', 'GO:0005759:C:mitochondrial matrix', 'GO:0042645:C:mitochondrial nucleoid', 'GO:0005739:C:mitochondrion', 'GO:0032991:C:protein-containing complex', ""GO:0008408:F:3'-5' exonuclease activity"", ""GO:0051575:F:5'-deoxyribose-5-phosphate lyase activity"", 'GO:0003682:F:chromatin binding', 'GO:0003677:F:DNA binding', 'GO:0003887:F:DNA-directed DNA polymerase activity', 'GO:0002020:F:protease binding', ""GO:0008310:F:single-stranded DNA 3'-5' DNA exonuclease activity"", 'GO:0006284:P:base-excision repair', 'GO:0006287:P:base-excision repair, gap-filling', 'GO:0006259:P:DNA metabolic process', 'GO:0045004:P:DNA replication proofreading', 'GO:0006261:P:DNA-templated DNA replication', 'GO:0006264:P:mitochondrial DNA replication']","Catalytic subunit of DNA polymerase gamma solely responsible for replication of mitochondrial DNA (mtDNA). Replicates both heavy and light strands of the circular mtDNA genome using a single-stranded DNA template, RNA primers and the four deoxyribonucleoside triphosphates as substrates (PubMed:11477093, PubMed:11897778, PubMed:15917273, PubMed:19837034, PubMed:9558343). Has 5' -> 3' polymerase activity. Functionally interacts with TWNK and SSBP1 at the replication fork to form a highly processive replisome, where TWNK unwinds the double-stranded DNA template prior to replication and SSBP1 covers the parental heavy strand to enable continuous replication of the entire mitochondrial genome. A single nucleotide incorporation cycle includes binding of the incoming nucleotide at the insertion site, a phosphodiester bond formation reaction that extends the 3'-end of the primer DNA, and translocation of the primer terminus to the post-insertion site. After completing replication of a mtDNA strand, mediates 3' -> 5' exonucleolytic degradation at the nick to enable proper ligation (PubMed:11477093, PubMed:11897778, PubMed:15167897, PubMed:15917273, PubMed:19837034, PubMed:26095671, PubMed:9558343). Highly accurate due to high nucleotide selectivity and 3' -> 5' exonucleolytic proofreading. Proficiently corrects base substitutions, single-base additions and deletions in non-repetitive sequences and short repeats, but displays lower proofreading activity when replicating longer homopolymeric stretches. Exerts exonuclease activity toward single-stranded DNA and double-stranded DNA containing 3'-terminal mispairs. When a misincorporation occurs, transitions from replication to a pro-nucleolytic editing mode and removes the missincorporated nucleoside in the exonuclease active site. Proceeds via an SN2 nucleolytic mechanism in which Asp-198 catalyzes phosphodiester bond hydrolysis and Glu-200 stabilizes the leaving group. As a result the primer strand becomes one nucleotide shorter and is positioned in the post-insertion site, ready to resume DNA synthesis (PubMed:10827171, PubMed:11477094, PubMed:11504725, PubMed:37202477). Exerts 5'-deoxyribose phosphate (dRP) lyase activity and mediates repair-associated mtDNA synthesis (gap filling) in base-excision repair pathway. Catalyzes the release of the 5'-terminal 2-deoxyribose-5-phosphate sugar moiety from incised apurinic/apyrimidinic (AP) sites to produce a substrate for DNA ligase. The dRP lyase reaction does not require divalent metal ions and likely proceeds via a Schiff base intermediate in a beta-elimination reaction mechanism (PubMed:9770471)",,False
P54802,ANAG_HUMAN,743,Homo sapiens,benign,random_enzyme,"['PF05089', 'PF12972', 'PF12971']","['GO:0070062:C:extracellular exosome', 'GO:0043202:C:lysosomal lumen', 'GO:0005764:C:lysosome', 'GO:0016020:C:membrane', 'GO:0004561:F:alpha-N-acetylglucosaminidase activity', 'GO:0140315:F:iron ion sequestering activity', 'GO:0030534:P:adult behavior', 'GO:0042982:P:amyloid precursor protein metabolic process', 'GO:0035909:P:aorta morphogenesis', 'GO:0048143:P:astrocyte activation', 'GO:0006914:P:autophagy', 'GO:0055013:P:cardiac muscle cell development', 'GO:0097696:P:cell surface receptor signaling pathway via STAT', 'GO:0034599:P:cellular response to oxidative stress', 'GO:0021680:P:cerebellar Purkinje cell layer development', 'GO:0032963:P:collagen metabolic process', 'GO:1904390:P:cone retinal bipolar cell differentiation', 'GO:0007028:P:cytoplasm organization', 'GO:0008340:P:determination of adult lifespan', 'GO:0003158:P:endothelium development', 'GO:0097009:P:energy homeostasis', 'GO:0035640:P:exploration behavior', 'GO:0001573:P:ganglioside metabolic process', 'GO:0030203:P:glycosaminoglycan metabolic process', 'GO:0007030:P:Golgi organization', 'GO:0031069:P:hair follicle morphogenesis', 'GO:0030200:P:heparan sulfate proteoglycan catabolic process', 'GO:0030202:P:heparin proteoglycan metabolic process', 'GO:0042445:P:hormone metabolic process', 'GO:0060119:P:inner ear receptor cell development', 'GO:0003220:P:left ventricular cardiac muscle tissue morphogenesis', 'GO:0060173:P:limb development', 'GO:0016042:P:lipid catabolic process', 'GO:0001889:P:liver development', 'GO:0045475:P:locomotor rhythm', 'GO:0007040:P:lysosome organization', 'GO:0035633:P:maintenance of blood-brain barrier', 'GO:0014004:P:microglia differentiation', 'GO:0001774:P:microglial cell activation', 'GO:0042474:P:middle ear morphogenesis', 'GO:0003183:P:mitral valve morphogenesis', 'GO:0061744:P:motor behavior', 'GO:0060586:P:multicellular organismal-level iron ion homeostasis', 'GO:0021675:P:nerve development', 'GO:0007399:P:nervous system development', 'GO:0043161:P:proteasome-mediated ubiquitin-dependent protein catabolic process', 'GO:0016485:P:protein processing', 'GO:0034285:P:response to disaccharide', 'GO:0032496:P:response to lipopolysaccharide', 'GO:0009611:P:response to wounding', 'GO:0046548:P:retinal rod cell development', 'GO:1904389:P:rod bipolar cell differentiation', 'GO:0006801:P:superoxide metabolic process', 'GO:0034142:P:toll-like receptor 4 signaling pathway', 'GO:0099022:P:vesicle tethering']",Involved in the degradation of heparan sulfate,,False
P55072,TERA_HUMAN,806,Homo sapiens,benign,random_enzyme,"['PF00004', 'PF17862', 'PF02933', 'PF02359']","['GO:1904949:C:ATPase complex', 'GO:0035578:C:azurophil granule lumen', 'GO:0036064:C:ciliary basal body', 'GO:0097542:C:ciliary tip', 'GO:0035869:C:ciliary transition zone', 'GO:0005737:C:cytoplasm', 'GO:0010494:C:cytoplasmic stress granule', 'GO:0000153:C:cytoplasmic ubiquitin ligase complex', 'GO:0005829:C:cytosol', 'GO:0036513:C:Derlin-1 retrotranslocation complex', 'GO:0005783:C:endoplasmic reticulum', 'GO:0005789:C:endoplasmic reticulum membrane', 'GO:0070062:C:extracellular exosome', 'GO:0005576:C:extracellular region', 'GO:1904813:C:ficolin-1-rich granule lumen', 'GO:0098978:C:glutamatergic synapse', 'GO:0043231:C:intracellular membrane-bounded organelle', 'GO:0005811:C:lipid droplet', 'GO:0005654:C:nucleoplasm', 'GO:0005634:C:nucleus', 'GO:0048471:C:perinuclear region of cytoplasm', 'GO:0000502:C:proteasome complex', 'GO:0032991:C:protein-containing complex', 'GO:0034774:C:secretory granule lumen', 'GO:0035861:C:site of double-strand break', 'GO:0034098:C:VCP-NPL4-UFD1 AAA ATPase complex', 'GO:1990730:C:VCP-NSFL1C complex', 'GO:0043531:F:ADP binding', 'GO:0005524:F:ATP binding', 'GO:0016887:F:ATP hydrolysis activity', 'GO:1904288:F:BAT3 complex binding', 'GO:0035800:F:deubiquitinase activator activity', 'GO:0042802:F:identical protein binding', 'GO:0036435:F:K48-linked polyubiquitin modification-dependent protein binding', 'GO:0008289:F:lipid binding', 'GO:0042288:F:MHC class I protein binding', 'GO:0031593:F:polyubiquitin modification-dependent protein binding', 'GO:0019904:F:protein domain specific binding', 'GO:0019903:F:protein phosphatase binding', 'GO:0003723:F:RNA binding', 'GO:0031625:F:ubiquitin protein ligase binding', 'GO:0044389:F:ubiquitin-like protein ligase binding', 'GO:0140036:F:ubiquitin-modified protein reader activity', 'GO:1990381:F:ubiquitin-specific protease binding', 'GO:0070842:P:aggresome assembly', 'GO:0046034:P:ATP metabolic process', 'GO:0097352:P:autophagosome maturation', 'GO:0006914:P:autophagy', 'GO:1903843:P:cellular response to arsenite ion', 'GO:0034605:P:cellular response to heat', 'GO:0071218:P:cellular response to misfolded protein', 'GO:0140455:P:cytoplasm protein quality control', 'GO:0006974:P:DNA damage response', 'GO:0006281:P:DNA repair', 'GO:0006302:P:double-strand break repair', 'GO:0061857:P:endoplasmic reticulum stress-induced pre-emptive quality control', 'GO:0006888:P:endoplasmic reticulum to Golgi vesicle-mediated transport', 'GO:0030968:P:endoplasmic reticulum unfolded protein response', 'GO:0032510:P:endosome to lysosome transport via multivesicular body sorting pathway', 'GO:0036503:P:ERAD pathway', 'GO:0045184:P:establishment of protein localization', 'GO:0072389:P:flavin adenine dinucleotide catabolic process', 'GO:0036297:P:interstrand cross-link repair', 'GO:0016236:P:macroautophagy', 'GO:0051228:P:mitotic spindle disassembly', 'GO:0019674:P:NAD+ metabolic process', 'GO:0035331:P:negative regulation of hippo signaling', 'GO:0120186:P:negative regulation of protein localization to chromatin', 'GO:0045879:P:negative regulation of smoothened signaling pathway', 'GO:2001171:P:positive regulation of ATP biosynthetic process', 'GO:0090263:P:positive regulation of canonical Wnt signaling pathway', 'GO:0010918:P:positive regulation of mitochondrial membrane potential', 'GO:1901224:P:positive regulation of non-canonical NF-kappaB signal transduction', 'GO:1903862:P:positive regulation of oxidative phosphorylation', 'GO:0032436:P:positive regulation of proteasomal ubiquitin-dependent protein catabolic process', 'GO:0045732:P:positive regulation of protein catabolic process', 'GO:1903006:P:positive regulation of protein K63-linked deubiquitination', 'GO:0031334:P:positive regulation of protein-containing complex assembly', 'GO:0010498:P:proteasomal protein catabolic process', 'GO:0043161:P:proteasome-mediated ubiquitin-dependent protein catabolic process', 'GO:0016567:P:protein ubiquitination', 'GO:0106300:P:protein-DNA covalent cross-linking repair', 'GO:1903715:P:regulation of aerobic respiration', 'GO:0042981:P:regulation of apoptotic process', 'GO:1905634:P:regulation of protein localization to chromatin', 'GO:0050807:P:regulation of synapse organization', 'GO:0030970:P:retrograde protein transport, ER to cytosol', 'GO:0035617:P:stress granule disassembly', 'GO:0019985:P:translesion synthesis', 'GO:0006511:P:ubiquitin-dependent protein catabolic process', 'GO:0019079:P:viral genome replication']","Necessary for the fragmentation of Golgi stacks during mitosis and for their reassembly after mitosis. Involved in the formation of the transitional endoplasmic reticulum (tER). The transfer of membranes from the endoplasmic reticulum to the Golgi apparatus occurs via 50-70 nm transition vesicles which derive from part-rough, part-smooth transitional elements of the endoplasmic reticulum (tER). Vesicle budding from the tER is an ATP-dependent process. The ternary complex containing UFD1, VCP and NPLOC4 binds ubiquitinated proteins and is necessary for the export of misfolded proteins from the ER to the cytoplasm, where they are degraded by the proteasome. The NPLOC4-UFD1-VCP complex regulates spindle disassembly at the end of mitosis and is necessary for the formation of a closed nuclear envelope. Regulates E3 ubiquitin-protein ligase activity of RNF19A. Component of the VCP/p97-AMFR/gp78 complex that participates in the final step of the sterol-mediated ubiquitination and endoplasmic reticulum-associated degradation (ERAD) of HMGCR. Mediates the endoplasmic reticulum-associated degradation of CHRNA3 in cortical neurons as part of the STUB1-VCP-UBXN2A complex (PubMed:26265139). Involved in endoplasmic reticulum stress-induced pre-emptive quality control, a mechanism that selectively attenuates the translocation of newly synthesized proteins into the endoplasmic reticulum and reroutes them to the cytosol for proteasomal degradation (PubMed:26565908). Involved in clearance process by mediating G3BP1 extraction from stress granules (PubMed:29804830, PubMed:34739333). Also involved in DNA damage response: recruited to double-strand breaks (DSBs) sites in a RNF8- and RNF168-dependent manner and promotes the recruitment of TP53BP1 at DNA damage sites (PubMed:22020440, PubMed:22120668). Recruited to stalled replication forks by SPRTN: may act by mediating extraction of DNA polymerase eta (POLH) to prevent excessive translesion DNA synthesis and limit the incidence of mutations induced by DNA damage (PubMed:23042605, PubMed:23042607). Together with SPRTN metalloprotease, involved in the repair of covalent DNA-protein cross-links (DPCs) during DNA synthesis (PubMed:32152270). Involved in interstrand cross-link repair in response to replication stress by mediating unloading of the ubiquitinated CMG helicase complex (By similarity). Mediates extraction of PARP1 trapped to chromatin: recognizes and binds ubiquitinated PARP1 and promotes its removal (PubMed:35013556). Required for cytoplasmic retrotranslocation of stressed/damaged mitochondrial outer-membrane proteins and their subsequent proteasomal degradation (PubMed:16186510, PubMed:21118995). Essential for the maturation of ubiquitin-containing autophagosomes and the clearance of ubiquitinated protein by autophagy (PubMed:20104022, PubMed:27753622, PubMed:38762759). Acts as a negative regulator of type I interferon production by interacting with RIGI: interaction takes place when RIGI is ubiquitinated via 'Lys-63'-linked ubiquitin on its CARD domains, leading to recruit RNF125 and promote ubiquitination and degradation of RIGI (PubMed:26471729). May play a role in the ubiquitin-dependent sorting of membrane proteins to lysosomes where they undergo degradation (PubMed:21822278). May more particularly play a role in caveolins sorting in cells (PubMed:21822278, PubMed:23335559). By controlling the steady-state expression of the IGF1R receptor, indirectly regulates the insulin-like growth factor receptor signaling pathway (PubMed:26692333)",,False
P56381,ATP5E_HUMAN,51,Homo sapiens,benign,random_enzyme,['PF04627'],"['GO:0005743:C:mitochondrial inner membrane', 'GO:0005759:C:mitochondrial matrix', 'GO:0005739:C:mitochondrion', 'GO:0045259:C:proton-transporting ATP synthase complex', 'GO:0016787:F:hydrolase activity', 'GO:0046933:F:proton-transporting ATP synthase activity, rotational mechanism', 'GO:0015986:P:proton motive force-driven ATP synthesis', 'GO:0042776:P:proton motive force-driven mitochondrial ATP synthesis']","Subunit epsilon, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (PubMed:37244256). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). In vivo, can only synthesize ATP although its ATP hydrolase activity can be activated artificially in vitro (By similarity). May be essential for the assembly of F(1) and may play an important role in the incorporation of the hydrophobic subunit c into the F(1)-c oligomer rotor of the mitochondrial ATP synthase complex (PubMed:20026007)",,False
P57735,RAB25_HUMAN,213,Homo sapiens,benign,random_enzyme,['PF00071'],"['GO:0031410:C:cytoplasmic vesicle', 'GO:0070062:C:extracellular exosome', 'GO:0005794:C:Golgi apparatus', 'GO:0005886:C:plasma membrane', 'GO:0031143:C:pseudopodium', 'GO:0031260:C:pseudopodium membrane', 'GO:0055037:C:recycling endosome', 'GO:0003925:F:G protein activity', 'GO:0005525:F:GTP binding', 'GO:0003924:F:GTPase activity', 'GO:0031489:F:myosin V binding', 'GO:0003382:P:epithelial cell morphogenesis', 'GO:0006887:P:exocytosis', 'GO:0008284:P:positive regulation of cell population proliferation', 'GO:0010634:P:positive regulation of epithelial cell migration', 'GO:0015031:P:protein transport', 'GO:0031268:P:pseudopodium organization', 'GO:0060627:P:regulation of vesicle-mediated transport']","The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion (By similarity). RAB25 regulates epithelial cell differentiation, proliferation and survival, thereby playing key roles in tumorigenesis (PubMed:17925226). Promotes invasive migration of cells in which it functions to localize and maintain integrin alpha-V/beta-1 at the tips of extending pseudopodia (PubMed:17925226). Involved in the regulation of epithelial morphogenesis through the control of CLDN4 expression and localization at tight junctions (By similarity). May selectively regulate the apical recycling pathway (By similarity). Together with MYO5B regulates transcytosis (By similarity)",,False
P58397,ATS12_HUMAN,1594,Homo sapiens,benign,random_enzyme,"['PF17771', 'PF19236', 'PF05986', 'PF01562', 'PF01421', 'PF19030', 'PF00090']","['GO:0031012:C:extracellular matrix', 'GO:0046872:F:metal ion binding', 'GO:0004222:F:metalloendopeptidase activity', 'GO:0016477:P:cell migration', 'GO:0007160:P:cell-matrix adhesion', 'GO:0071773:P:cellular response to BMP stimulus', 'GO:0071347:P:cellular response to interleukin-1', 'GO:0071356:P:cellular response to tumor necrosis factor', 'GO:0002062:P:chondrocyte differentiation', 'GO:0030199:P:collagen fibril organization', 'GO:0030198:P:extracellular matrix organization', 'GO:2001113:P:negative regulation of cellular response to hepatocyte growth factor stimulus', 'GO:1902548:P:negative regulation of cellular response to vascular endothelial growth factor stimulus', 'GO:0032331:P:negative regulation of chondrocyte differentiation', 'GO:1902203:P:negative regulation of hepatocyte growth factor receptor signaling pathway', 'GO:0043931:P:ossification involved in bone maturation', 'GO:0030167:P:proteoglycan catabolic process', 'GO:0006508:P:proteolysis', 'GO:0051603:P:proteolysis involved in protein catabolic process', 'GO:1901509:P:regulation of endothelial tube morphogenesis', 'GO:0050727:P:regulation of inflammatory response']",Metalloprotease that may play a role in the degradation of COMP. Also cleaves alpha-2 macroglobulin and aggregan. Has anti-tumorigenic properties,,False
P60763,RAC3_HUMAN,192,Homo sapiens,benign,random_enzyme,['PF00071'],"['GO:0071944:C:cell periphery', 'GO:0031410:C:cytoplasmic vesicle', 'GO:0005856:C:cytoskeleton', 'GO:0005829:C:cytosol', 'GO:0012505:C:endomembrane system', 'GO:0005789:C:endoplasmic reticulum membrane', 'GO:0070062:C:extracellular exosome', 'GO:0031941:C:filamentous actin', 'GO:0098978:C:glutamatergic synapse', 'GO:0030426:C:growth cone', 'GO:0030027:C:lamellipodium', 'GO:0043020:C:NADPH oxidase complex', 'GO:0043005:C:neuron projection', 'GO:0043025:C:neuronal cell body', 'GO:0048471:C:perinuclear region of cytoplasm', 'GO:0005886:C:plasma membrane', 'GO:0098794:C:postsynapse', 'GO:0048306:F:calcium-dependent protein binding', 'GO:0003925:F:G protein activity', 'GO:0005525:F:GTP binding', 'GO:0003924:F:GTPase activity', 'GO:0019901:F:protein kinase binding', 'GO:0030036:P:actin cytoskeleton organization', 'GO:0007015:P:actin filament organization', 'GO:0060326:P:cell chemotaxis', 'GO:0030031:P:cell projection assembly', 'GO:0021894:P:cerebral cortex GABAergic interneuron development', 'GO:0030865:P:cortical cytoskeleton organization', 'GO:0007163:P:establishment or maintenance of cell polarity', 'GO:0048873:P:homeostasis of number of cells within a tissue', 'GO:0035556:P:intracellular signal transduction', 'GO:0008045:P:motor neuron axon guidance', 'GO:0050885:P:neuromuscular process controlling balance', 'GO:0033630:P:positive regulation of cell adhesion mediated by integrin', 'GO:1900026:P:positive regulation of substrate adhesion-dependent cell spreading', 'GO:0098974:P:postsynaptic actin cytoskeleton organization', 'GO:0016601:P:Rac protein signal transduction', 'GO:0032956:P:regulation of actin cytoskeleton organization', 'GO:0008360:P:regulation of cell shape', 'GO:0014041:P:regulation of neuron maturation', 'GO:1902622:P:regulation of neutrophil migration', 'GO:0150052:P:regulation of postsynapse assembly', 'GO:0045730:P:respiratory burst', 'GO:0051932:P:synaptic transmission, GABAergic', 'GO:0016055:P:Wnt signaling pathway']","Plasma membrane-associated small GTPase which cycles between an active GTP-bound and inactive GDP-bound state. In active state binds to a variety of effector proteins to regulate cellular responses, such as cell spreading and the formation of actin-based protusions including lamellipodia and membrane ruffles. Promotes cell adhesion and spreading on fibrinogen in a CIB1 and alpha-IIb/beta3 integrin-mediated manner",,False
P61020,RAB5B_HUMAN,215,Homo sapiens,benign,random_enzyme,['PF00071'],"['GO:0005769:C:early endosome', 'GO:0031901:C:early endosome membrane', 'GO:0030139:C:endocytic vesicle', 'GO:0012505:C:endomembrane system', 'GO:0005768:C:endosome', 'GO:0070062:C:extracellular exosome', 'GO:0042470:C:melanosome', 'GO:0016020:C:membrane', 'GO:0005886:C:plasma membrane', 'GO:0030667:C:secretory granule membrane', 'GO:0030672:C:synaptic vesicle membrane', 'GO:0003925:F:G protein activity', 'GO:0019003:F:GDP binding', 'GO:0005525:F:GTP binding', 'GO:0030742:F:GTP-dependent protein binding', 'GO:0003924:F:GTPase activity', 'GO:0046872:F:metal ion binding', 'GO:0019882:P:antigen processing and presentation', 'GO:0006897:P:endocytosis', 'GO:0016197:P:endosomal transport', 'GO:0007032:P:endosome organization', 'GO:0006886:P:intracellular protein transport', 'GO:0048227:P:plasma membrane to endosome transport', 'GO:0030100:P:regulation of endocytosis']","The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion (PubMed:16086013, PubMed:17562788). Involved in early endocytic trafficking (PubMed:16086013, PubMed:17562788). Required for EEA1 recruitment to early endosomes (PubMed:16086013, PubMed:17562788). Required for EGF and transferrin endocytosis and trafficking through early endosomes (PubMed:16086013, PubMed:17562788)",,False
